No;state;year;sid;l_homicide;post
1;Alabama;2000;1;2.027355671;0
2;Alabama;2001;1;2.164866924;0
3;Alabama;2002;1;1.936334133;0
4;Alabama;2003;1;1.919567108;0
5;Alabama;2004;1;1.749841213;0
6;Alabama;2005;1;2.130440474;0
7;Alabama;2006;1;2.079652309;1
8;Alabama;2007;1;2.145690441;1
9;Alabama;2008;1;2.043597698;1
10;Alabama;2009;1;1.938684106;1
11;Alabama;2010;1;1.747939825;1
12;Alaska;2000;2;1.491518259;0
13;Alaska;2001;2;1.846246481;0
14;Alaska;2002;2;1.665123701;0
15;Alaska;2003;2;1.823278666;0
16;Alaska;2004;2;1.760947704;0
17;Alaska;2005;2;1.606747746;0
18;Alaska;2006;2;1.68133235;1
19;Alaska;2007;2;1.872016549;1
20;Alaska;2008;2;1.377099752;1
21;Alaska;2009;2;1.169509888;1
22;Alaska;2010;2;1.487915635;1
23;Arizona;2000;3;1.967151642;0
24;Arizona;2001;3;2.040706635;0
25;Arizona;2002;3;1.97937572;0
26;Arizona;2003;3;2.087027073;0
27;Arizona;2004;3;1.994461775;0
28;Arizona;2005;3;2.03249979;0
29;Arizona;2006;3;2.143614292;1
30;Arizona;2007;3;2.18870759;1
31;Arizona;2008;3;1.968010187;1
32;Arizona;2009;3;1.793097496;1
33;Arizona;2010;3;1.863344669;1
34;Arkansas;2000;4;1.86606276;0
35;Arkansas;2001;4;1.732164145;0
36;Arkansas;2002;4;1.684416413;0
37;Arkansas;2003;4;1.91578877;0
38;Arkansas;2004;4;1.8836236;0
39;Arkansas;2005;4;1.94538033;0
40;Arkansas;2006;4;2.015778303;0
41;Arkansas;2007;4;1.969190478;0
42;Arkansas;2008;4;1.756988049;0
43;Arkansas;2009;4;1.841650724;0
44;Arkansas;2010;4;1.560761333;0
45;California;2000;5;1.838978291;0
46;California;2001;5;1.879402161;0
47;California;2002;5;1.943615913;0
48;California;2003;5;1.938233733;0
49;California;2004;5;1.920375228;0
50;California;2005;5;1.959378839;0
51;California;2006;5;1.921304345;0
52;California;2007;5;1.829696655;0
53;California;2008;5;1.771833301;0
54;California;2009;5;1.692165852;0
55;California;2010;5;1.587793231;0
56;Colorado;2000;6;1.160573602;0
57;Colorado;2001;6;1.297976494;0
58;Colorado;2002;6;1.402364969;0
59;Colorado;2003;6;1.425340414;0
60;Colorado;2004;6;1.496951103;0
61;Colorado;2005;6;1.332891941;0
62;Colorado;2006;6;1.280223131;0
63;Colorado;2007;6;1.179089069;0
64;Colorado;2008;6;1.169412851;0
65;Colorado;2009;6;1.188741207;0
66;Colorado;2010;6;0.881419837;0
67;Connecticut;2000;7;1.089179516;0
68;Connecticut;2001;7;1.152274966;0
69;Connecticut;2002;7;0.919168413;0
70;Connecticut;2003;7;1.200632811;0
71;Connecticut;2004;7;1.08190763;0
72;Connecticut;2005;7;1.129144907;0
73;Connecticut;2006;7;1.363259792;0
74;Connecticut;2007;7;1.173511982;0
75;Connecticut;2008;7;1.329454184;0
76;Connecticut;2009;7;1.10966742;0
77;Connecticut;2010;7;1.294771433;0
78;Delaware;2000;8;1.192021847;0
79;Delaware;2001;8;1.092224002;0
80;Delaware;2002;8;1.201129436;0
81;Delaware;2003;8;0.974507689;0
82;Delaware;2004;8;1.246009588;0
83;Delaware;2005;8;1.508508444;0
84;Delaware;2006;8;1.593522429;0
85;Delaware;2007;8;1.520336986;0
86;Delaware;2008;8;1.889193535;0
87;Delaware;2009;8;1.557363868;0
88;Delaware;2010;8;1.683139443;0
89;Florida;2000;10;1.756287575;0
90;Florida;2001;10;1.697463036;0
91;Florida;2002;10;1.719648838;0
92;Florida;2003;10;1.715631843;0
93;Florida;2004;10;1.717021823;0
94;Florida;2005;10;1.625275493;1
95;Florida;2006;10;1.83114934;1
96;Florida;2007;10;1.897956371;1
97;Florida;2008;10;1.860869169;1
98;Florida;2009;10;1.719374657;1
99;Florida;2010;10;1.664929986;1
100;Georgia;2000;11;2.102421761;0
101;Georgia;2001;11;1.992986798;0
102;Georgia;2002;11;1.98488152;0
103;Georgia;2003;11;2.05232954;0
104;Georgia;2004;11;1.966172338;0
105;Georgia;2005;11;1.855317831;0
106;Georgia;2006;11;1.88054359;1
107;Georgia;2007;11;2.05843091;1
108;Georgia;2008;11;1.922121882;1
109;Georgia;2009;11;1.784962773;1
110;Georgia;2010;11;1.758682609;1
111;Hawaii;2000;12;1.090852499;0
112;Hawaii;2001;12;0.990362048;0
113;Hawaii;2002;12;0.686058164;0
114;Hawaii;2003;12;0.588062644;0
115;Hawaii;2004;12;0.989343822;0
116;Hawaii;2005;12;0.661843956;0
117;Hawaii;2006;12;0.490791142;0
118;Hawaii;2007;12;0.631320179;0
119;Hawaii;2008;12;0.708438098;0
120;Hawaii;2009;12;0.585860789;0
121;Hawaii;2010;12;0.577204347;0
122;Idaho;2000;13;0.236943781;0
123;Idaho;2001;13;0.844363928;0
124;Idaho;2002;13;1.012189984;0
125;Idaho;2003;13;0.667955637;0
126;Idaho;2004;13;0.82380563;0
127;Idaho;2005;13;0.919414163;0
128;Idaho;2006;13;0.780296028;0
129;Idaho;2007;13;1.208705783;0
130;Idaho;2008;13;0.431644142;0
131;Idaho;2009;13;0.474967241;0
132;Idaho;2010;13;0.301488698;0
133;Illinois;2000;14;2.004585028;0
134;Illinois;2001;14;2.088815451;0
135;Illinois;2002;14;2.057496548;0
136;Illinois;2003;14;1.982307076;0
137;Illinois;2004;14;1.839777112;0
138;Illinois;2005;14;1.822860122;0
139;Illinois;2006;14;1.804769158;0
140;Illinois;2007;14;1.772031188;0
141;Illinois;2008;14;1.817738533;0
142;Illinois;2009;14;1.799417973;0
143;Illinois;2010;14;1.707924247;0
144;Indiana;2000;15;1.785698771;0
145;Indiana;2001;15;1.93973434;0
146;Indiana;2002;15;1.800491214;0
147;Indiana;2003;15;1.72579813;0
148;Indiana;2004;15;1.651623845;0
149;Indiana;2005;15;1.76514411;0
150;Indiana;2006;15;1.746365786;1
151;Indiana;2007;15;1.725894451;1
152;Indiana;2008;15;1.625782728;1
153;Indiana;2009;15;1.59315002;1
154;Indiana;2010;15;1.508809805;1
155;Iowa;2000;16;0.488555521;0
156;Iowa;2001;16;0.573071003;0
157;Iowa;2002;16;0.440482944;0
158;Iowa;2003;16;0.565680385;0
159;Iowa;2004;16;0.433876872;0
160;Iowa;2005;16;0.334584624;0
161;Iowa;2006;16;0.64784348;0
162;Iowa;2007;16;0.297037035;0
163;Iowa;2008;16;0.947824597;0
164;Iowa;2009;16;0.243453726;0
165;Iowa;2010;16;0.251370609;0
166;Kansas;2000;17;1.869317532;0
167;Kansas;2001;17;1.25884378;0
168;Kansas;2002;17;1.085573792;0
169;Kansas;2003;17;1.554288149;0
170;Kansas;2004;17;1.52557373;0
171;Kansas;2005;17;1.333226323;0
172;Kansas;2006;17;1.524895906;1
173;Kansas;2007;17;1.374319673;1
174;Kansas;2008;17;1.402855873;1
175;Kansas;2009;17;1.504056811;1
176;Kansas;2010;17;1.261136651;1
177;Kentucky;2000;18;1.592238188;0
178;Kentucky;2001;18;1.522018194;0
179;Kentucky;2002;18;1.5688833;0
180;Kentucky;2003;18;1.508858919;0
181;Kentucky;2004;18;1.767199039;0
182;Kentucky;2005;18;1.543592811;0
183;Kentucky;2006;18;1.437034965;1
184;Kentucky;2007;18;1.645481586;1
185;Kentucky;2008;18;1.56229949;1
186;Kentucky;2009;18;1.464961171;1
187;Kentucky;2010;18;1.465792179;1
188;Louisiana;2000;19;2.559088945;0
189;Louisiana;2001;19;2.448583841;0
190;Louisiana;2002;19;2.612975597;0
191;Louisiana;2003;19;2.594552279;0
192;Louisiana;2004;19;2.572793245;0
193;Louisiana;2005;19;2.327390909;0
194;Louisiana;2006;19;2.573150396;1
195;Louisiana;2007;19;2.675912857;1
